number,word
393,hirurehun eta laurogeita hamahiru
394,hirurehun eta laurogeita hamalau
395,hirurehun eta laurogeita hamabost
396,hirurehun eta laurogeita hamasei
397,hirurehun eta laurogeita hamazazpi
398,hirurehun eta laurogeita hemezortzi
399,hirurehun eta laurogeita hemeretzi
400,laurehun
401,laurehun eta bat
402,laurehun eta bi
403,laurehun eta hiru
404,laurehun eta lau
405,laurehun eta bost
406,laurehun eta sei
407,laurehun eta zazpi
408,laurehun eta zortzi
409,laurehun eta bederatzi
410,laurehun eta hamar
411,laurehun eta hamaika
412,laurehun eta hamabi
413,laurehun eta hamahiru
414,laurehun eta hamalau
415,laurehun eta hamabost
416,laurehun eta hamasei
417,laurehun eta hamazazpi
418,laurehun eta hemezortzi
419,laurehun eta hemeretzi
420,laurehun eta hogei
421,laurehun eta hogeita bat
422,laurehun eta hogeita bi
423,laurehun eta hogeita hiru
424,laurehun eta hogeita lau
425,laurehun eta hogeita bost
426,laurehun eta hogeita sei
427,laurehun eta hogeita zazpi
428,laurehun eta hogeita zortzi
429,laurehun eta hogeita bederatzi
430,laurehun eta hogeita hamar
431,laurehun eta hogeita hamaika
432,laurehun eta hogeita hamabi
433,laurehun eta hogeita hamahiru
434,laurehun eta hogeita hamalau
435,laurehun eta hogeita hamabost
436,laurehun eta hogeita hamasei
437,laurehun eta hogeita hamazazpi
438,laurehun eta hogeita hemezortzi
439,laurehun eta hogeita hemeretzi
440,laurehun eta berrogei
441,laurehun eta berrogeita bat
442,laurehun eta berrogeita bi
443,laurehun eta berrogeita hiru
444,laurehun eta berrogeita lau
445,laurehun eta berrogeita bost
446,laurehun eta berrogeita sei
447,laurehun eta berrogeita zazpi
448,laurehun eta berrogeita zortzi
449,laurehun eta berrogeita bederatzi
450,laurehun eta berrogeita hamar
451,laurehun eta berrogeita hamaika
452,laurehun eta berrogeita hamabi
453,laurehun eta berrogeita hamahiru
454,laurehun eta berrogeita hamalau
455,laurehun eta berrogeita hamabost
456,laurehun eta berrogeita hamasei
457,laurehun eta berrogeita hamazazpi
458,laurehun eta berrogeita hemezortzi
459,laurehun eta berrogeita hemeretzi
460,laurehun eta hirurogei
461,laurehun eta hirurogeita bat
462,laurehun eta hirurogeita bi
463,laurehun eta hirurogeita hiru
464,laurehun eta hirurogeita lau
465,laurehun eta hirurogeita bost
466,laurehun eta hirurogeita sei
467,laurehun eta hirurogeita zazpi
468,laurehun eta hirurogeita zortzi
469,laurehun eta hirurogeita bederatzi
470,laurehun eta hirurogeita hamar
471,laurehun eta hirurogeita hamaika
472,laurehun eta hirurogeita hamabi
473,laurehun eta hirurogeita hamahiru
474,laurehun eta hirurogeita hamalau
475,laurehun eta hirurogeita hamabost
476,laurehun eta hirurogeita hamasei
477,laurehun eta hirurogeita hamazazpi
478,laurehun eta hirurogeita hemezortzi
479,laurehun eta hirurogeita hemeretzi
480,laurehun eta laurogei
481,laurehun eta laurogeita bat
482,laurehun eta laurogeita bi
483,laurehun eta laurogeita hiru
484,laurehun eta laurogeita lau
485,laurehun eta laurogeita bost
486,laurehun eta laurogeita sei
487,laurehun eta laurogeita zazpi
488,laurehun eta laurogeita zortzi
489,laurehun eta laurogeita bederatzi
490,laurehun eta laurogeita hamar
491,laurehun eta laurogeita hamaika
492,laurehun eta laurogeita hamabi
493,laurehun eta laurogeita hamahiru
494,laurehun eta laurogeita hamalau
495,laurehun eta laurogeita hamabost
496,laurehun eta laurogeita hamasei
497,laurehun eta laurogeita hamazazpi
498,laurehun eta laurogeita hemezortzi
499,laurehun eta laurogeita hemeretzi
500,bostehun
501,bostehun eta bat
502,bostehun eta bi
503,bostehun eta hiru
504,bostehun eta lau
505,bostehun eta bost
506,bostehun eta sei
507,bostehun eta zazpi
508,bostehun eta zortzi
509,bostehun eta bederatzi
510,bostehun eta hamar
511,bostehun eta hamaika
512,bostehun eta hamabi
513,bostehun eta hamahiru
514,bostehun eta hamalau
515,bostehun eta hamabost
516,bostehun eta hamasei
517,bostehun eta hamazazpi
518,bostehun eta hemezortzi
519,bostehun eta hemeretzi
520,bostehun eta hogei
521,bostehun eta hogeita bat
522,bostehun eta hogeita bi
523,bostehun eta hogeita hiru
524,bostehun eta hogeita lau
525,bostehun eta hogeita bost
526,bostehun eta hogeita sei
527,bostehun eta hogeita zazpi
528,bostehun eta hogeita zortzi
529,bostehun eta hogeita bederatzi
530,bostehun eta hogeita hamar
531,bostehun eta hogeita hamaika
532,bostehun eta hogeita hamabi
533,bostehun eta hogeita hamahiru
534,bostehun eta hogeita hamalau
535,bostehun eta hogeita hamabost
536,bostehun eta hogeita hamasei
537,bostehun eta hogeita hamazazpi
538,bostehun eta hogeita hemezortzi
539,bostehun eta hogeita hemeretzi
540,bostehun eta berrogei
541,bostehun eta berrogeita bat
542,bostehun eta berrogeita bi
543,bostehun eta berrogeita hiru
544,bostehun eta berrogeita lau
545,bostehun eta berrogeita bost
546,bostehun eta berrogeita sei
547,bostehun eta berrogeita zazpi
548,bostehun eta berrogeita zortzi
549,bostehun eta berrogeita bederatzi
550,bostehun eta berrogeita hamar
551,bostehun eta berrogeita hamaika
552,bostehun eta berrogeita hamabi
553,bostehun eta berrogeita hamahiru
554,bostehun eta berrogeita hamalau
555,bostehun eta berrogeita hamabost
556,bostehun eta berrogeita hamasei
557,bostehun eta berrogeita hamazazpi
558,bostehun eta berrogeita hemezortzi
559,bostehun eta berrogeita hemeretzi
560,bostehun eta hirurogei
561,bostehun eta hirurogeita bat
562,bostehun eta hirurogeita bi
563,bostehun eta hirurogeita hiru
564,bostehun eta hirurogeita lau
565,bostehun eta hirurogeita bost
566,bostehun eta hirurogeita sei
567,bostehun eta hirurogeita zazpi
568,bostehun eta hirurogeita zortzi
569,bostehun eta hirurogeita bederatzi
570,bostehun eta hirurogeita hamar
571,bostehun eta hirurogeita hamaika
572,bostehun eta hirurogeita hamabi
573,bostehun eta hirurogeita hamahiru
574,bostehun eta hirurogeita hamalau
575,bostehun eta hirurogeita hamabost
576,bostehun eta hirurogeita hamasei
577,bostehun eta hirurogeita hamazazpi
578,bostehun eta hirurogeita hemezortzi
579,bostehun eta hirurogeita hemeretzi
580,bostehun eta laurogei
581,bostehun eta laurogeita bat
582,bostehun eta laurogeita bi
583,bostehun eta laurogeita hiru
584,bostehun eta laurogeita lau
585,bostehun eta laurogeita bost
586,bostehun eta laurogeita sei
587,bostehun eta laurogeita zazpi
588,bostehun eta laurogeita zortzi
589,bostehun eta laurogeita bederatzi
590,bostehun eta laurogeita hamar
591,bostehun eta laurogeita hamaika
592,bostehun eta laurogeita hamabi
593,bostehun eta laurogeita hamahiru
594,bostehun eta laurogeita hamalau
595,bostehun eta laurogeita hamabost
596,bostehun eta laurogeita hamasei
597,bostehun eta laurogeita hamazazpi
598,bostehun eta laurogeita hemezortzi
599,bostehun eta laurogeita hemeretzi
600,seiehun
601,seiehun eta bat
602,seiehun eta bi
603,seiehun eta hiru
604,seiehun eta lau
605,seiehun eta bost
606,seiehun eta sei
607,seiehun eta zazpi
608,seiehun eta zortzi
609,seiehun eta bederatzi
610,seiehun eta hamar
611,seiehun eta hamaika
612,seiehun eta hamabi
613,seiehun eta hamahiru
614,seiehun eta hamalau
615,seiehun eta hamabost
616,seiehun eta hamasei
617,seiehun eta hamazazpi
618,seiehun eta hemezortzi
619,seiehun eta hemeretzi
620,seiehun eta hogei
621,seiehun eta hogeita bat
622,seiehun eta hogeita bi
623,seiehun eta hogeita hiru
624,seiehun eta hogeita lau
625,seiehun eta hogeita bost
626,seiehun eta hogeita sei
627,seiehun eta hogeita zazpi
628,seiehun eta hogeita zortzi
629,seiehun eta hogeita bederatzi
630,seiehun eta hogeita hamar
631,seiehun eta hogeita hamaika
632,seiehun eta hogeita hamabi
633,seiehun eta hogeita hamahiru
634,seiehun eta hogeita hamalau
635,seiehun eta hogeita hamabost
636,seiehun eta hogeita hamasei
637,seiehun eta hogeita hamazazpi
638,seiehun eta hogeita hemezortzi
639,seiehun eta hogeita hemeretzi
640,seiehun eta berrogei
641,seiehun eta berrogeita bat
642,seiehun eta berrogeita bi
643,seiehun eta berrogeita hiru
644,seiehun eta berrogeita lau
645,seiehun eta berrogeita bost
646,seiehun eta berrogeita sei
647,seiehun eta berrogeita zazpi
648,seiehun eta berrogeita zortzi
649,seiehun eta berrogeita bederatzi
650,seiehun eta berrogeita hamar
651,seiehun eta berrogeita hamaika
652,seiehun eta berrogeita hamabi
653,seiehun eta berrogeita hamahiru
654,seiehun eta berrogeita hamalau
655,seiehun eta berrogeita hamabost
656,seiehun eta berrogeita hamasei
657,seiehun eta berrogeita hamazazpi
658,seiehun eta berrogeita hemezortzi
659,seiehun eta berrogeita hemeretzi
660,seiehun eta hirurogei
661,seiehun eta hirurogeita bat
662,seiehun eta hirurogeita bi
663,seiehun eta hirurogeita hiru
664,seiehun eta hirurogeita lau
665,seiehun eta hirurogeita bost
666,seiehun eta hirurogeita sei
667,seiehun eta hirurogeita zazpi
668,seiehun eta hirurogeita zortzi
669,seiehun eta hirurogeita bederatzi
670,seiehun eta hirurogeita hamar
671,seiehun eta hirurogeita hamaika
672,seiehun eta hirurogeita hamabi
673,seiehun eta hirurogeita hamahiru
674,seiehun eta hirurogeita hamalau
675,seiehun eta hirurogeita hamabost
676,seiehun eta hirurogeita hamasei
677,seiehun eta hirurogeita hamazazpi
678,seiehun eta hirurogeita hemezortzi
679,seiehun eta hirurogeita hemeretzi
680,seiehun eta laurogei
681,seiehun eta laurogeita bat
682,seiehun eta laurogeita bi
683,seiehun eta laurogeita hiru
684,seiehun eta laurogeita lau
685,seiehun eta laurogeita bost
686,seiehun eta laurogeita sei
687,seiehun eta laurogeita zazpi
688,seiehun eta laurogeita zortzi
689,seiehun eta laurogeita bederatzi
690,seiehun eta laurogeita hamar
691,seiehun eta laurogeita hamaika
692,seiehun eta laurogeita hamabi
693,seiehun eta laurogeita hamahiru
694,seiehun eta laurogeita hamalau
695,seiehun eta laurogeita hamabost
696,seiehun eta laurogeita hamasei
697,seiehun eta laurogeita hamazazpi
698,seiehun eta laurogeita hemezortzi
699,seiehun eta laurogeita hemeretzi
700,zazpiehun
701,zazpiehun eta bat
702,zazpiehun eta bi
703,zazpiehun eta hiru
704,zazpiehun eta lau
705,zazpiehun eta bost
706,zazpiehun eta sei
707,zazpiehun eta zazpi
708,zazpiehun eta zortzi
709,zazpiehun eta bederatzi
710,zazpiehun eta hamar
711,zazpiehun eta hamaika
712,zazpiehun eta hamabi
713,zazpiehun eta hamahiru
714,zazpiehun eta hamalau
715,zazpiehun eta hamabost
716,zazpiehun eta hamasei
717,zazpiehun eta hamazazpi
718,zazpiehun eta hemezortzi
719,zazpiehun eta hemeretzi
720,zazpiehun eta hogei
721,zazpiehun eta hogeita bat
722,zazpiehun eta hogeita bi
723,zazpiehun eta hogeita hiru
724,zazpiehun eta hogeita lau
725,zazpiehun eta hogeita bost
726,zazpiehun eta hogeita sei
727,zazpiehun eta hogeita zazpi
728,zazpiehun eta hogeita zortzi
729,zazpiehun eta hogeita bederatzi
730,zazpiehun eta hogeita hamar
731,zazpiehun eta hogeita hamaika
732,zazpiehun eta hogeita hamabi
733,zazpiehun eta hogeita hamahiru
734,zazpiehun eta hogeita hamalau
735,zazpiehun eta hogeita hamabost
736,zazpiehun eta hogeita hamasei
737,zazpiehun eta hogeita hamazazpi
738,zazpiehun eta hogeita hemezortzi
739,zazpiehun eta hogeita hemeretzi
740,zazpiehun eta berrogei
741,zazpiehun eta berrogeita bat
742,zazpiehun eta berrogeita bi
743,zazpiehun eta berrogeita hiru
744,zazpiehun eta berrogeita lau
745,zazpiehun eta berrogeita bost
746,zazpiehun eta berrogeita sei
747,zazpiehun eta berrogeita zazpi
748,zazpiehun eta berrogeita zortzi
749,zazpiehun eta berrogeita bederatzi
750,zazpiehun eta berrogeita hamar
751,zazpiehun eta berrogeita hamaika
752,zazpiehun eta berrogeita hamabi
753,zazpiehun eta berrogeita hamahiru
754,zazpiehun eta berrogeita hamalau
755,zazpiehun eta berrogeita hamabost
756,zazpiehun eta berrogeita hamasei
757,zazpiehun eta berrogeita hamazazpi
758,zazpiehun eta berrogeita hemezortzi
759,zazpiehun eta berrogeita hemeretzi
760,zazpiehun eta hirurogei
761,zazpiehun eta hirurogeita bat
762,zazpiehun eta hirurogeita bi
763,zazpiehun eta hirurogeita hiru
764,zazpiehun eta hirurogeita lau
765,zazpiehun eta hirurogeita bost
766,zazpiehun eta hirurogeita sei
767,zazpiehun eta hirurogeita zazpi
768,zazpiehun eta hirurogeita zortzi
769,zazpiehun eta hirurogeita bederatzi
770,zazpiehun eta hirurogeita hamar
771,zazpiehun eta hirurogeita hamaika
772,zazpiehun eta hirurogeita hamabi
773,zazpiehun eta hirurogeita hamahiru
774,zazpiehun eta hirurogeita hamalau
775,zazpiehun eta hirurogeita hamabost
776,zazpiehun eta hirurogeita hamasei
777,zazpiehun eta hirurogeita hamazazpi
778,zazpiehun eta hirurogeita hemezortzi
779,zazpiehun eta hirurogeita hemeretzi
780,zazpiehun eta laurogei
781,zazpiehun eta laurogeita bat
782,zazpiehun eta laurogeita bi
783,zazpiehun eta laurogeita hiru
784,zazpiehun eta laurogeita lau
785,zazpiehun eta laurogeita bost
786,zazpiehun eta laurogeita sei
787,zazpiehun eta laurogeita zazpi
788,zazpiehun eta laurogeita zortzi
789,zazpiehun eta laurogeita bederatzi
790,zazpiehun eta laurogeita hamar
791,zazpiehun eta laurogeita hamaika
792,zazpiehun eta laurogeita hamabi
793,zazpiehun eta laurogeita hamahiru
794,zazpiehun eta laurogeita hamalau
795,zazpiehun eta laurogeita hamabost
796,zazpiehun eta laurogeita hamasei
797,zazpiehun eta laurogeita hamazazpi
798,zazpiehun eta laurogeita hemezortzi
799,zazpiehun eta laurogeita hemeretzi
800,zortziehun
801,zortziehun eta bat
802,zortziehun eta bi
803,zortziehun eta hiru
804,zortziehun eta lau
805,zortziehun eta bost
806,zortziehun eta sei
807,zortziehun eta zazpi
808,zortziehun eta zortzi
809,zortziehun eta bederatzi
810,zortziehun eta hamar
811,zortziehun eta hamaika
812,zortziehun eta hamabi
813,zortziehun eta hamahiru
814,zortziehun eta hamalau
815,zortziehun eta hamabost
816,zortziehun eta hamasei
817,zortziehun eta hamazazpi
818,zortziehun eta hemezortzi
819,zortziehun eta hemeretzi
820,zortziehun eta hogei
821,zortziehun eta hogeita bat
822,zortziehun eta hogeita bi
823,zortziehun eta hogeita hiru
824,zortziehun eta hogeita lau
825,zortziehun eta hogeita bost
826,zortziehun eta hogeita sei
827,zortziehun eta hogeita zazpi
828,zortziehun eta hogeita zortzi
829,zortziehun eta hogeita bederatzi
830,zortziehun eta hogeita hamar
831,zortziehun eta hogeita hamaika
832,zortziehun eta hogeita hamabi
833,zortziehun eta hogeita hamahiru
834,zortziehun eta hogeita hamalau
835,zortziehun eta hogeita hamabost
836,zortziehun eta hogeita hamasei
837,zortziehun eta hogeita hamazazpi
838,zortziehun eta hogeita hemezortzi
839,zortziehun eta hogeita hemeretzi
840,zortziehun eta berrogei
841,zortziehun eta berrogeita bat
842,zortziehun eta berrogeita bi
843,zortziehun eta berrogeita hiru
844,zortziehun eta berrogeita lau
845,zortziehun eta berrogeita bost
846,zortziehun eta berrogeita sei
847,zortziehun eta berrogeita zazpi
848,zortziehun eta berrogeita zortzi
849,zortziehun eta berrogeita bederatzi
850,zortziehun eta berrogeita hamar
851,zortziehun eta berrogeita hamaika
852,zortziehun eta berrogeita hamabi
853,zortziehun eta berrogeita hamahiru
854,zortziehun eta berrogeita hamalau
855,zortziehun eta berrogeita hamabost
856,zortziehun eta berrogeita hamasei
857,zortziehun eta berrogeita hamazazpi
858,zortziehun eta berrogeita hemezortzi
859,zortziehun eta berrogeita hemeretzi
860,zortziehun eta hirurogei
861,zortziehun eta hirurogeita bat
862,zortziehun eta hirurogeita bi
863,zortziehun eta hirurogeita hiru
